fec_proceso;cod_nominalpago;cod_nominalrecib;imp_npvpago;imp_npvrec;cod_cur_pl;cod_numoperfront;imp_irdfpv1;imp_irdfpv2;imp_csfi;imp_csnf;imp_fe;imp_fefi;imp_fpnfcp;imp_fpnfrv;imp_ftfi;imp_delta;imp_gamma;imp_rho;imp_theta;imp_vega;imp_zcsnv;cod_counterpart;cod_cntrplb;xti_isinternal;imp_lqty;cod_portfolio;imp_rtccp0;imp_rtccp1;xti_rtpr0;xti_rtpr1;cod_family;cod_grupo;cod_tipoproducto;imp_mvnfcp;imp_mvnfrv;cod_tipoperacion;fec_expirydate;fec_lastflow;cod_status;fec_tetrn;fec_initialpay;cod_seccod;imp_nominal;cod_strument;cod_cd;imp_rtacr0;imp_rtacr1;imp_iqty;xti_delivsettle;cod_strtgy;cod_accsct;cod_operaorigen;cod_lastmrktoper;fec_lastmrktoper;cod_dtefst;cod_valstat;cod_entity;imp_volatility;imp_forwardpago;imp_pot;imp_nomientrfs;imp_nomientrfx;imp_nomisalidafs;imp_nomisalidafx;imp_fmv;imp_nonfmv;cod_divisanomi;imp_tipocambio;cod_diventradafx;cod_divsalidafx;cod_csatype;cod_nomvivopago;cod_nomvivorecibo;fec_nextfixrecibo;fec_nextfixpago;cod_nextfixpatarec;cod_nextfixpatapago;cod_m_collagcat;imp_pl_csnfcp2;imp_pl_csnfrv2;imp_pl_rvu2;cod_pl_inscur;cod_vegaquot;imp_total_ffc;cod_tp_dtefxgf;cod_tp_dtefxgl;cod_tp_dtefst;cod_tp_dtelst;imp_tp_rtamc00;imp_tp_rtamc10;cod_tp_rtdpn00;cod_tp_rtdpn10;cod_tp_rtdxc00;cod_tp_rtdxc10;cod_tp_rtdxg00;cod_tp_rtdxg10;imp_tp_rtfxc00;imp_tp_rtfxc10;cod_model;fec_dtesys;cod_tp_nomcur;cod_divpago;cod_divrecibo;xti_compraventa;fec_ultfixpago;fec_ultfixrecibo;imp_mvpago;imp_mvrecibo;imp_mvcontrasala;imp_mvcontraeur;imp_plpago;imp_plrecibo;imp_plcontrasala;imp_plcontraeur;cod_aplicacionfront;ind_adj;des_ficorig;xti_murex;cod_region
08/04/2024;0;0;0;0;EUR;9732105;0;0;-6986.265435;-379875.797;0;0;0;0;0;0;0;0;0;0;0;B.O FRONTABACO;;Y;1;INIRDOPD997;0;0;P;P;SCF;SCF;SCF;0;0;S;31/12/2015;31/12/2015;LIVE;31/12/2015;;;379875.8;CYPL 2015 RC;1;0;0;1;;BARRIDOS2016;;0;;;31/12/2015;Confirmed;001820997;0;0;0;0;1;0;1;0;0;;1;;EUR;EMPTY;0;379875.797;;;0;0;2018;-379875.797;0;0;EUR;;0;;;31/12/2015;31/12/2015;0;0;;;;;;;0;0;;31/12/2015;EUR;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA2;3;EU
08/04/2024;0;0;0;0;EUR;49957001;0;0;69.856526;1720;0;0;0;0;0;-1;0;0;0;0;0;EUX;EUX;N;0;E_SPAIN;0;0;;;IRD;LFUT;;0;0;S;08/03/2023;08/03/2023;DEAD;22/02/2023;23/02/2023;;100000;EUR OAT 10Y FUT;1;0;0;1;;;;0;EXP;08/03/2023;22/02/2023;Confirmed;001820997;0;0;0;0;0;0;1;0;0;;1;;EUR;COLLATERAL CCP;0;0;;;0;0;2009;1720;0;0;EUR;;0;;;22/02/2023;08/03/2023;0;0;;;;;;;0;0;;22/02/2023;EUR;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA1;3;EU
08/04/2024;0;0;-1083210;-1083210;EUR;56320810;999782.84;-1082890.69;0;0;0;0;0;0;-0.288408;-0.00073;0;0;-38.4736;0;0;287171153;SOCIETE GENERALE;N;1083210;FXMADSPOT;0;0;;;CURR;FXD;FXD;1328.07757;0;S;10/04/2024;10/04/2024;LIVE;08/04/2024;;;1083210;EUR/USD;1;0;0;1083210;D;;;0;;;10/04/2024;Confirmed;001820997;0;0;0;0;1000000;0;1083210;1327.789162;1328.07757;USD;1;EUR;USD;NO COLLATERAL;0;0;;;0;0;1004;0;0;0;EUR;EUR;0;;;10/04/2024;10/04/2024;0;0;;;;;;;0;0;;08/04/2024;USD;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA4;3;EU
08/04/2024;0;0;0;0;USD;10942863;0;0;22968366.102421;156134814.73;0;0;0;0;0;0;0;0;0;0;0;INIRDOPD997;;Y;1;ZZMC02;0;0;R;;SCF;SCF;SCF;0;0;B;30/12/2016;30/12/2016;LIVE;30/12/2016;;;156134814.73;CYPL 2016 DEAD;1;0;0;1;;BARRIDOS2017;;0;;;30/12/2016;Confirmed;001820997;0;0;0;0;1;0;1;0;0;;0.922027;USD;;EMPTY;0;156134814.73;;;0;0;2018;156134814.73;0;0;USD;;0;;;30/12/2016;30/12/2016;0;0;;;;;;;0;0;;30/12/2016;USD;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA2;3;EU
08/04/2024;0;0;0;0;GBP;38536136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BGMBAMS;BBVA GLOBAL MARKETS B V;N;0;XEQMEX EMTN;0;0;;;EQD;OPT;FLEX;0;0;S;15/01/2025;15/01/2025;DEAD;16/12/2020;22/01/2021;;500000;ADS/ASML/MELI;1;0;0;500000;C;ST-146824;;0;RPL;15/01/2021;22/01/2021;Confirmed;001820997;0;0;0;500000;0;0;500000;0;0;GBP;1.165843;;;COLLATERAL EUR;0;0;;;0;0;1002;0;0;0;GBP;;0;;;22/01/2021;15/01/2025;0;0;;;;;;;0;0;;16/12/2020;GBP;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA3;3;EU
08/04/2024;0;0;0;0;CHF;45648244;-3626401.86;0;70050.453828;3413340;0;0;0;0;298.135316;-41999.91547;0;19.87069;-2.89919;0;1.98;282650053;BANK VONTOBEL AG;N;42000;AC_FARMAQUIM;0;0;;;EQD;EQUIT;;-3626700;0;S;19/05/2022;19/05/2022;LIVE;17/05/2022;19/05/2022;;3686340;CHF-NOVZN.S;1;0;0;42000;D;;;0;;;19/05/2022;Confirmed;001820997;0;0;0;3686340;0;0;3686340;-3626401.864684;-3626700;;1.018629;;;EMPTY;0;42000;;;0;0;2018;3686340;-273000;-273000;CHF;;0;;;19/05/2022;19/05/2022;0;0;;;;;;;0;0;;17/05/2022;CHF;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA3;3;EU
08/04/2024;0;0;0;0;EUR;36246234;-87110.06;0;564.158735;32275;0;0;0;0;19.936954;-499.99653;0;0.47731;0.01253;0;0.04;EUX;EUX;N;500;AC TECNOLOGICAS;0;0;;;EQD;EQUIT;;-87130;0;S;09/12/2016;09/12/2016;LIVE;09/12/2016;13/12/2016;;48000;EUR-SIEGN.DE;1;0;0;500;D;;;10765706;;;09/12/2016;Confirmed;001820997;0;0;0;48000;0;0;48000;-87110.063046;-87130;;1;;;EMPTY;0;500;;;0;0;2018;48000;-15725;-15725;EUR;;0;;;09/12/2016;09/12/2016;0;0;;;;;;;0;0;;12/12/2016;EUR;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA3;3;EU
08/04/2024;-1500000;0;-1574712.3;0;EUR;7901602;-1574362.88;0;5891.989174;842222.465753;0;0;0;0;349.419541;69.71195;0;0.86266;-352.07232;0;69.92;RF_VENTAS_ILLIQ;;Y;1500000;RF CALLABLE;-1500000;0;P;R;IRD;BOND;CALL;-1502475;-72237.295082;S;29/09/2049;18/09/2024;LIVE;12/05/2014;15/05/2014;XS0972570351;1500000;TELEFO FL 0949;1;0;0;1500000;;;;0;;;18/09/2013;Confirmed;001820997;0;0;0;0;0;0;1500000;-1574362.875541;-1574712.295082;;1;EUR;CTR;EMPTY;0;1500000;;;0;0;2018;1670625;-828402.534247;-900639.829329;EUR;;0;;14/09/2023;18/09/2013;18/09/2024;-128970;0;;;;;;;0;0;Plain;12/05/2014;EUR;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA1;3;EU
08/04/2024;-500000;0;-581902.32;0;EUR;44586676;-581773.2;0;23103.389352;479327.39726;0;0;0;0;129.120756;376.83677;0;0;-105.76711;0;0;RF_CORP_TMT;;Y;500000;RF_VENTAS_CORP;-500000;0;P;R;IRD;BOND;;-573750;-8152.322404;S;24/01/2033;24/01/2033;LIVE;08/03/2022;10/03/2022;XS0161100515;500000;TITIM 7.75 0133;1;0;0;500000;;;;0;;;24/01/2003;Confirmed;001820997;0;0;0;0;0;0;500000;-581773.201648;-581902.322404;;1;EUR;CTR;INTERNAL;0;500000;;;0;0;1005;552050;-72722.60274;-80874.925144;EUR;;0;;;24/01/2003;24/01/2033;-38750;0;26/01/2026;;;;;;0;0;Plain;08/03/2022;EUR;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA1;3;EU
08/04/2024;0;0;0;0;USD;40317910;0;0;2509.402413;29155;0;0;0;0;0;0;0;0;0;0;0;CBOE;CHICAGO BOARD OPTIONS EXCHANGE;N;0;XEQMEX OTC;0;0;;;EQD;OPT;ORG;0;0;S;20/01/2023;20/01/2023;DEAD;27/04/2021;28/04/2021;;290000;USD-SBUX.OK;1;0;0;29;D;;;0;EXP;20/01/2023;28/04/2021;Confirmed;001820997;0;0;0;290000;0;0;290000;0;0;USD;0.922027;;;COLLATERAL CCP;0;0;;;0;0;2009;29155;0;0;USD;;0;;;28/04/2021;20/01/2023;0;0;;;;;;;0;0;;27/04/2021;USD;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA3;3;EU
